FACILITY_ID,FACILITY_CODE,SYS_LOC_CODE,LOC_NAME,SAMPLE_ID,SYS_SAMPLE_CODE,SAMPLE_NAME,SAMPLE_DATE,SAMPLEDATE,SAMPLETIME,SAMPLE_TYPE_CODE,START_DEPTH,END_DEPTH,DEPTH_UNIT,MATRIX_CODE,TASK_CODE,TASK_CODE_2,PARENT_SAMPLE_CODE,FIELD_SDG,ANALYSIS_LOCATION,LAB_SAMPLE_ID,LAB_MATRIX_CODE,LAB_NAME_CODE,ANALYTIC_METHOD,ANALYSIS_DATE,COLUMN_NUMBER,FRACTION,TEST_TYPE,PREP_METHOD,LEACHATE_METHOD,LEACHATE_DATE,LAB_SDG,PERCENT_MOISTURE,DILUTION_FACTOR,TEST_ID,CAS_RN,CHEMICAL_NAME,ORGANIC_YN,REPORT_RESULT_TEXT,REPORT_RESULT_VALUE,REPORT_RESULT_UNIT,REPORT_RESULT_LIMIT,REPORT_METHOD_DETECTION_LIMIT,REPORT_REPORTING_LIMIT,REPORT_QUANTITATION_LIMIT,REPORTABLE_RESULT,DETECT_FLAG,INTERPRETED_QUALIFIERS,VALIDATOR_QUALIFIERS,LAB_QUALIFIERS,QUANTITATION_LIMIT,METHOD_DETECTION_LIMIT,REPORTING_DETECTION_LIMIT,DETECTION_LIMIT_UNIT,APPROVAL_CODE,RESULT_TEXT,RESULT_NUMERIC,RESULT_UNIT,RESULT_TYPE_CODE,X_COORD,Y_COORD,Z_COORD_AVG,ZFROM,ZTO,LONGITUDE,LATITUDE,REJECT_FLAG,DEPTH_INTERVAL,J_STATUS,J_STATUS_FLAG,RAD_U_FLAG,REPORT_RAD_VALUE,REPORT_RAD_TEXT,DETECTED,DETECTED_FLAG
360,CFFF,W-18R,W-018R,15371,W-18R-2020 Q2-GW,W-18R-2020-Q2,4/7/2020,07 Apr 2020,13:07,N,,,,WG,2020-Q2-GW,,,VD07070,LB,VD07070-007,WG,SHEALY,SW8260D,4/8/2020,NA,N,INITIAL,,,,VD07070,,1,24955,79-01-6,Trichloroethene,Y,< 1,1,ug/L,1,0.4,1,1,YES,N,,,U,1,0.4,1,ug/L,,,,ug/L,TRG,2023939.25,745012.69,,,,,,N,,,,,1,< 1,,
360,CFFF,W-22,W-022,15372,W-22-2020 Q2-GW,W-22-2020-Q2,4/7/2020,07 Apr 2020,10:53,N,,,,WG,2020-Q2-GW,,,VD07070,LB,VD07070-006,WG,SHEALY,E353.2,4/8/2020,NA,T,INITIAL,,,,VD07070,,50,24957,NO3-N,Nitrate as N,,50,50,mg/L,1,0.5,1,1,YES,Y,,,,1,0.5,1,mg/L,,50,50,mg/L,TRG,2024116.4,744960.92,,,,,,N,,,,,50,50,,x
360,CFFF,W-22,W-022,15372,W-22-2020 Q2-GW,W-22-2020-Q2,4/7/2020,07 Apr 2020,10:53,N,,,,WG,2020-Q2-GW,,,VD07070,LB,VD07070-006,WG,SHEALY,SW8260D,4/8/2020,NA,N,INITIAL,,,,VD07070,,1,24958,127-18-4,Tetrachloroethene,Y,< 1,1,ug/L,1,0.4,1,1,YES,N,,,U,1,0.4,1,ug/L,,,,ug/L,TRG,2024116.4,744960.92,,,,,,N,,,,,1,< 1,,
360,CFFF,W-22,W-022,15372,W-22-2020 Q2-GW,W-22-2020-Q2,4/7/2020,07 Apr 2020,10:53,N,,,,WG,2020-Q2-GW,,,VD07070,LB,VD07070-006,WG,SHEALY,SW8260D,4/8/2020,NA,N,INITIAL,,,,VD07070,,1,24958,156-59-2,"cis-1,2-Dichloroethene",Y,< 1,1,ug/L,1,0.4,1,1,YES,N,,,U,1,0.4,1,ug/L,,,,ug/L,TRG,2024116.4,744960.92,,,,,,N,,,,,1,< 1,,
360,CFFF,W-22,W-022,15372,W-22-2020 Q2-GW,W-22-2020-Q2,4/7/2020,07 Apr 2020,10:53,N,,,,WG,2020-Q2-GW,,,VD07070,LB,VD07070-006,WG,SHEALY,SW8260D,4/8/2020,NA,N,INITIAL,,,,VD07070,,1,24958,75-01-4,Vinyl chloride,Y,< 1,1,ug/L,1,0.4,1,1,YES,N,,,U,1,0.4,1,ug/L,,,,ug/L,TRG,2024116.4,744960.92,,,,,,N,,,,,1,< 1,,
360,CFFF,W-22,W-022,15372,W-22-2020 Q2-GW,W-22-2020-Q2,4/7/2020,07 Apr 2020,10:53,N,,,,WG,2020-Q2-GW,,,VD07070,LB,VD07070-006,WG,SHEALY,SW8260D,4/8/2020,NA,N,INITIAL,,,,VD07070,,1,24958,79-01-6,Trichloroethene,Y,< 1,1,ug/L,1,0.4,1,1,YES,N,,,U,1,0.4,1,ug/L,,,,ug/L,TRG,2024116.4,744960.92,,,,,,N,,,,,1,< 1,,
360,CFFF,W-56,W-056,15375,W-56-2020 Q2-GW,W-56-2020-Q2,4/7/2020,07 Apr 2020,13:23,N,,,,WG,2020-Q2-GW,,,VD07070,LB,VD07070-004,WG,SHEALY,E353.2,4/8/2020,NA,T,INITIAL,,,,VD07070,,2,24960,NO3-N,Nitrate as N,,2.8,2.8,mg/L,0.04,0.02,0.04,0.04,YES,Y,,,,0.04,0.02,0.04,mg/L,,2.8,2.8,mg/L,TRG,2024203.75,745351.31,,,,,,N,,,,,2.8,2.8,,x
360,CFFF,W-56,W-056,15375,W-56-2020 Q2-GW,W-56-2020-Q2,4/7/2020,07 Apr 2020,13:23,N,,,,WG,2020-Q2-GW,,,VD07070,LB,VD07070-004,WG,SHEALY,SW8260D,4/8/2020,NA,N,INITIAL,,,,VD07070,,1,24961,127-18-4,Tetrachloroethene,Y,< 1,1,ug/L,1,0.4,1,1,YES,N,,,U,1,0.4,1,ug/L,,,,ug/L,TRG,2024203.75,745351.31,,,,,,N,,,,,1,< 1,,
360,CFFF,W-56,W-056,15375,W-56-2020 Q2-GW,W-56-2020-Q2,4/7/2020,07 Apr 2020,13:23,N,,,,WG,2020-Q2-GW,,,VD07070,LB,VD07070-004,WG,SHEALY,SW8260D,4/8/2020,NA,N,INITIAL,,,,VD07070,,1,24961,156-59-2,"cis-1,2-Dichloroethene",Y,1.2,1.2,ug/L,1,0.4,1,1,YES,Y,,,,1,0.4,1,ug/L,,1.2,1.2,ug/L,TRG,2024203.75,745351.31,,,,,,N,,,,,1.2,1.2,,x
360,CFFF,W-56,W-056,15375,W-56-2020 Q2-GW,W-56-2020-Q2,4/7/2020,07 Apr 2020,13:23,N,,,,WG,2020-Q2-GW,,,VD07070,LB,VD07070-004,WG,SHEALY,SW8260D,4/8/2020,NA,N,INITIAL,,,,VD07070,,1,24961,75-01-4,Vinyl chloride,Y,< 1,1,ug/L,1,0.4,1,1,YES,N,,,U,1,0.4,1,ug/L,,,,ug/L,TRG,2024203.75,745351.31,,,,,,N,,,,,1,< 1,,
360,CFFF,W-56,W-056,15375,W-56-2020 Q2-GW,W-56-2020-Q2,4/7/2020,07 Apr 2020,13:23,N,,,,WG,2020-Q2-GW,,,VD07070,LB,VD07070-004,WG,SHEALY,SW8260D,4/8/2020,NA,N,INITIAL,,,,VD07070,,1,24961,79-01-6,Trichloroethene,Y,< 1,1,ug/L,1,0.4,1,1,YES,N,,,U,1,0.4,1,ug/L,,,,ug/L,TRG,2024203.75,745351.31,,,,,,N,,,,,1,< 1,,
360,CFFF,W-57,W-057,15376,W-57-2020 Q2-GW,W-57-2020-Q2,4/7/2020,07 Apr 2020,11:41,N,,,,WG,2020-Q2-GW,,,VD07070,LB,VD07070-003,WG,SHEALY,E353.2,4/8/2020,NA,T,INITIAL,,,,VD07070,,2,24963,NO3-N,Nitrate as N,,3.5,3.5,mg/L,0.04,0.02,0.04,0.04,YES,Y,,,,0.04,0.02,0.04,mg/L,,3.5,3.5,mg/L,TRG,2024190.79,745307.43,,,,,,N,,,,,3.5,3.5,,x
